2025-09-27 05:34:55,609 - ✅ Normal traffic detected | Flow: {'duration': 105.148865, 'bytes_per_sec': 1774.351059329076, 'packets_per_sec': 14.037241391050678, 'fwd_packets': 844.0, 'bwd_packets': 632.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:34:55,616 - ✅ Normal traffic detected | Flow: {'duration': 90.008754, 'bytes_per_sec': 66.27133178623937, 'packets_per_sec': 0.5666115542494901, 'fwd_packets': 31.0, 'bwd_packets': 20.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:34:56,206 - ✅ Normal traffic detected | Flow: {'duration': 77.598729, 'bytes_per_sec': 1773.7146184443304, 'packets_per_sec': 14.06800716321718, 'fwd_packets': 490.0, 'bwd_packets': 651.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:34:56,406 - ✅ Normal traffic detected | Flow: {'duration': 105.139073, 'bytes_per_sec': 1771.3776114423229, 'packets_per_sec': 14.019526308739664, 'fwd_packets': 633.0, 'bwd_packets': 841.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:34:56,539 - ✅ Normal traffic detected | Flow: {'duration': 105.135332, 'bytes_per_sec': 1594.0312054181747, 'packets_per_sec': 14.01051361116166, 'fwd_packets': 632.0, 'bwd_packets': 841.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:34:56,628 - ✅ Normal traffic detected | Flow: {'duration': 100.00886, 'bytes_per_sec': 66.54410419236855, 'packets_per_sec': 0.5599503883955882, 'fwd_packets': 34.0, 'bwd_packets': 22.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:34:56,630 - ✅ Normal traffic detected | Flow: {'duration': 105.135332, 'bytes_per_sec': 1594.0312054181747, 'packets_per_sec': 14.01051361116166, 'fwd_packets': 632.0, 'bwd_packets': 841.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:34:57,174 - ✅ Normal traffic detected | Flow: {'duration': 105.143998, 'bytes_per_sec': 1771.3992576162075, 'packets_per_sec': 14.018869626776034, 'fwd_packets': 843.0, 'bwd_packets': 631.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:34:57,392 - ✅ Normal traffic detected | Flow: {'duration': 105.639307, 'bytes_per_sec': 1592.4470235307394, 'packets_per_sec': 13.991004314331596, 'fwd_packets': 634.0, 'bwd_packets': 844.0} | Prediction: normal | Confidence: 1.000 | Threat: low
2025-09-27 05:34:57,399 - ✅ Normal traffic detected | Flow: {'duration': 90.007164, 'bytes_per_sec': 66.1947308994204, 'packets_per_sec': 0.5666215635902049, 'fwd_packets': 31.0, 'bwd_packets': 20.0} | Prediction: normal | Confidence: 1.000 | Threat: low
