flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
122.127442,161.11857972100978,0.9498274761212144,0.5404190812413806,0.4094083948798338,66,50,8188,11489,362,68,124.06060606060606,59.1943073603798,1595,68,229.78,336.6469539443362,1595,68,169.6293103448276,231.48275910225658,53584.26776159335,1320,1000,20,39,1.061977756521739,10.010791,0.0,3.0580551616921006,122.127442,10.010791,0.0,1.878883723076923,3.874331860759623,112.118499,10.011024,3.5e-05,2.2881326326530615,4.163617061957007,39,33,0,0,0,3,0,72,114,0,0,0.7575757575757576,169.6293103448276,64860,64308,0,0,0,0,0,0,0,0,464.0,7.0,6121.0,14.0,1348837.209302325581395348837,1303449.744463373083475298126,124.06060606060606,229.78,0,66,50,8188,11489
120.04822,59.42612060387068,0.5081291501031835,0.30820948448881624,0.1999196656143673,37,24,5076,2058,177,68,137.1891891891892,48.26774304089125,104,68,85.75,17.75352077758099,177,68,116.95081967213115,46.568273949894255,2168.6041386724,740,480,20,25,2.0008036666666666,10.010094,0.0,4.0014009400597965,120.04822,10.010094,0.0,3.3346727777777776,4.715647584565543,110.047976,10.010283,0.000119,4.784694608695652,4.997242925720618,25,12,0,0,0,0,0,37,61,0,0,0.6486486486486487,116.95081967213115,568,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.1891891891892,85.75,0,37,24,5076,2058
113.664478,1713.5432584311873,12.228974473449831,6.149678530173692,6.079295943276139,699,691,103665,91104,827,68,148.3047210300429,66.61155190750247,2282,68,131.8437047756874,111.07528066189317,2282,68,140.12158273381294,91.82816472272478,8432.411836343876,13980,13820,20,466,0.08183187760979121,0.501252,0.0,0.1830929326821233,113.664478,0.501252,0.0,0.16284309169054442,0.23134114504996475,113.168208,0.50167,1.3e-05,0.1640118956521739,0.23199004551239108,466,461,0,0,0,3,0,927,1388,0,0,0.9885550786838341,140.12158273381294,64860,64308,0,0,0,0,0,0,0,0,1642.0,8.0,0,0,1415517.241379310344827586207,0,148.3047210300429,131.8437047756874,0,699,691,103665,91104
113.642935,1469.0926453105071,12.125698795090079,6.0804483798310915,6.0452504152589865,691,687,91146,75806,314,68,131.90448625180898,49.33015410811985,166,68,110.34352256186317,41.55694307480474,314,68,121.15529753265602,46.87712659000418,2197.464997335277,13820,13740,20,460,0.08252936456063907,0.500479,0.0,0.1832891933610432,113.642886,0.500479,0.0,0.1646998347826087,0.2313244471214326,113.642929,0.500602,1e-06,0.16566024635568513,0.23177895197726925,460,456,0,0,0,3,0,916,1376,0,0,0.9942112879884226,121.15529753265602,64860,64308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.90448625180898,110.34352256186317,0,691,687,91146,75806
61.427045,14.391055275408414,0.2116331658148296,0.03255894858689686,0.17907421722793274,2,11,136,748,68,68,68.0,0.0,68,68,68.0,0.0,68,68,68.0,0.0,0.0,40,220,20,0,5.118920416666667,26.111956,0.0,7.529020176050637,0,0,0,0,0,61.387028,26.111956,0.208004,6.1387028,7.860251716675272,0,0,0,0,12,0,0,0,13,0,0,5.5,68.0,501,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,68.0,0,2,11,136,748
0.061667,42664.634245220295,324.3225712293447,178.37741417613958,145.94515705320512,11,9,1198,1433,429,68,108.9090909090909,101.6209127953266,791,68,159.22222222222223,224.2423182272932,791,68,131.55,170.10099206059914,28934.34750000001,220,180,20,5,0.0032456315789473685,0.040791,0.0,0.009953909299262785,0.061667,0.040791,0.0,0.0061667,0.013065962207583489,0.020850999999999998,0.020463,1.1e-05,0.0026063749999999998,0.0067493450041003974,5,4,0,0,0,3,0,9,18,0,0,0.8181818181818182,131.55,64860,64308,0,0,0,0,0,0,0,0,425.0,4.0,0,0,7456140.350877192982456140351,0,108.9090909090909,159.22222222222223,0,11,9,1198,1433
0.000143,4566433.566433567,34965.03496503496,20979.020979020977,13986.013986013986,3,2,303,350,101,101,101.0,0.0,194,156,175.0,19.0,194,101,130.6,38.19214578941592,1458.6399999999999,60,40,20,3,3.575e-05,8.2e-05,0.0,3.038400072406529e-05,2e-05,2e-05,0.0,1e-05,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,130.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.0,175.0,0,3,2,303,350
100.009612,63.88385948342645,0.5499471390809915,0.3299682834485949,0.2199788556323966,33,22,4505,1884,177,68,136.5151515151515,48.7673022673142,104,68,85.63636363636364,17.639175033650766,177,68,116.16363636363636,46.61204044074435,2172.682314049587,660,440,20,22,1.852029851851852,10.001327,0.0,3.884653180930077,100.009612,10.001327,0.0,3.125300375,4.635290402358484,100.00945899999999,10.001595,0.000112,4.762355190476191,4.994599375044425,22,11,0,0,0,0,0,33,55,0,0,0.6666666666666666,116.16363636363636,568,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.5151515151515,85.63636363636364,0,33,22,4505,1884
70.096933,1696.8788063808724,12.882161335075814,6.847660510339304,6.034500824736511,480,423,68829,55000,256,68,136.53631284916202,60.68460365575086,188,68,125.27578947368421,49.54829169812923,256,68,130.85383903792786,56.07154536452181,3144.15950396003,12480,10580,20,354,0.07771278603104213,0.505129,0.0,0.17928386904580382,70.092408,0.505129,0.0,0.1463307056367432,0.22469564713388052,70.096875,0.505418,1.2e-05,0.16610633886255924,0.23283279423007047,358,359,0,0,0,0,0,769,1298,0,0,0.8346883468834688,132.54431314623338,608,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.53631284916202,125.27578947368421,0,480,423,68829,55000
106.631706,1569.8614068877414,13.246243318448508,6.010977683771283,7.2352656346772255,653,786,73754,97224,166,68,110.5119760479042,41.5434067812624,267,68,121.02853598014889,50.4398315327547,267,68,116.26255088195387,46.91193424382619,2200.729574497072,13360,16120,20,446,0.07562532340425533,0.504271,0.0,0.17698111640742986,106.631706,0.50437,0.0,0.166612040625,0.23227187110107678,106.631455,0.504271,1e-05,0.13866249024707414,0.22065933818515301,446,444,0,0,0,0,0,890,1474,0,0,1.2065868263473054,116.26255088195387,501,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.5119760479042,121.02853598014889,0,653,786,73754,97224
